paper_id,methods,model1,model2,model3,model4,model5,model6
variational-zero-inflated-gaussian-processes,Gaussian Process,Gaussian Process,,,,,
a-neural-network-architecture-combining-gated,"GRU, Softmax",GRU,,,,,
fast-cosmic-web-simulations-with-generative,"GAN, Convolution",GAN,,,,,
parlai-a-dialog-research-software-platform,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
on-breast-cancer-detection-an-application-of,"Linear Regression, Softmax",Linear Regression,,,,,
machine-learning-in-downlink-coordinated,SVM,SVM,,,,,
the-history-began-from-alexnet-a,Deep Belief Network,Deep Belief Network,,,,,
missing-data-in-sparse-transition-matrix,Linear Regression,Linear Regression,,,,,
dimensionally-tight-bounds-for-second-order,Logistic Regression,Logistic Regression,,,,,
autoprognosis-automated-clinical-prognostic,Gaussian Process,Gaussian Process,,,,,
a-machine-learning-approach-to-air-traffic,Logistic Regression,Logistic Regression,,,,,
restricted-eigenvalue-from-stable-rank-with,"Linear Regression, Normalizing Flows, Affine Coupling",Linear Regression,,,,,
global-scale-phylogenetic-linguistic,SVM,SVM,,,,,
generic-black-box-end-to-end-attack-against,SVM,SVM,,,,,
a-machine-learning-approach-for-virtual-flow,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
bridge-type-classification-supervised,SVM,SVM,,,,,
deep-versus-wide-convolutional-neural,DCNN,CNN,DCNN,,,,
directly-and-efficiently-optimizing,Logistic Regression,Logistic Regression,,,,,
scalable-meta-learning-for-bayesian,Gaussian Process,Gaussian Process,,,,,
task-aware-compressed-sensing-with-generative,"GAN, Convolution",GAN,,,,,
memory-fusion-network-for-multi-view,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
stochastic-primal-dual-proximal-extragradient,Logistic Regression,Logistic Regression,,,,,
a-gaussian-process-regression-model-for,Gaussian Process,Gaussian Process,,,,,
siamese-neural-networks-with-random-forest,GRU,GRU,,,,,
hybrid-gradient-boosting-trees-and-neural,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
how-generative-adversarial-networks-and-their,"AutoEncoder, GAN, Convolution",GAN,Autoencoder,,,,
shadho-massively-scalable-hardware-aware,"U-Net, Concatenated Skip Connection, Convolution, Max Pooling, SVM, ReLU",SVM,,,,,
deeper-insights-into-graph-convolutional,"GCN, Convolution",GCN,,,,,
mr-image-reconstruction-using-deep-density,VAE,VAE,,,,,
fusion-of-ann-and-svm-classifiers-for-network,SVM,SVM,,,,,
cortical-microcircuits-as-gated-recurrent,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
implementation-of-deep-convolutional-neural,"Gaussian Process, Softmax, Adam, ReLU",Gaussian Process,,,,,
a-deep-belief-network-based-machine-learning,Deep Belief Network,Deep Belief Network,,,,,
improved-inception-residual-convolutional,"Inception-v4, DCNN, Average Pooling, Reduction-B, Reduction-A, Inception-A, Convolution, Softmax, Inception-C, Max Pooling, 1x1 Convolution, Inception-B, Dropout",CNN,DCNN,,,,
an-empirical-evaluation-for-the-intrusion,SVM,SVM,,,,,
network-scale-traffic-modeling-and,Gaussian Process,Gaussian Process,,,,,
feature-extraction-for-machine-learning-based,SVM,SVM,,,,,
cross-validation-with-confidence,Linear Regression,Linear Regression,,,,,
adaptive-regularization-for-lasso-models-in,Linear Regression,Linear Regression,,,,,
logo-synthesis-and-manipulation-with,"GAN, Convolution",GAN,,,,,
multiple-adaptive-bayesian-linear-regression,Linear Regression,Linear Regression,,,,,
manifold-valued-image-generation-with,"WGAN, Convolution",GAN,,,,,
towards-personalized-modeling-of-the-female,Gaussian Process,Gaussian Process,,,,,
wisdom-of-the-crowd-from-unsupervised,Linear Regression,Linear Regression,,,,,
practical-hash-functions-for-similarity,SVM,SVM,,,,,
training-large-margin-host-pathogen-protein,SVM,SVM,,,,,
proximal-gradient-method-with-extrapolation,Logistic Regression,Logistic Regression,,,,,
squishednets-squishing-squeezenet-further-for,"Global Average Pooling, Softmax, Convolution, Max Pooling, 1x1 Convolution, Fire Module, ReLU, Dropout, Xavier Initialization, Residual Connection, SqueezeNet, Average Pooling",SqueezeNet,,,,,
accelerating-cross-validation-in-multinomial,Logistic Regression,Logistic Regression,,,,,
a-sequence-based-mesh-classifier-for-the,"SVM, Discrete Cosine Transform",SVM,,,,,
data-fusion-and-machine-learning-integration,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
intelligent-fault-analysis-in-electrical,"Tanh Activation, LSTM, Sigmoid Activation, SVM",SVM,LSTM,,,,
latentpoison-adversarial-attacks-on-the,AutoEncoder,Autoencoder,,,,,
performance-comparison-of-intrusion-detection,"Firefly algorithm, SPEED, SVM",SVM,,,,,
gaussian-kernel-in-quantum-paradigm,SVM,SVM,,,,,
improve-sat-solving-with-machine-learning,Logistic Regression,Logistic Regression,,,,,
auto-differentiating-linear-algebra,"Gaussian Process, Linear Regression",Linear Regression,Gaussian Process,,,,
contextual-regression-an-accurate-and,SVM,SVM,,,,,
regularization-approaches-for-support-vector,SVM,SVM,,,,,
exploring-the-use-of-text-classification-in,SVM,SVM,,,,,
calibration-of-machine-learning-classifiers,Logistic Regression,Logistic Regression,,,,,
deep-health-care-text-classification,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
distributed-statistical-machine-learning-in,Linear Regression,Linear Regression,,,,,
correcting-boundary-over-exploration,Gaussian Process,Gaussian Process,,,,,
causal-rule-sets-for-identifying-subgroups,Logistic Regression,Logistic Regression,,,,,
clickbait-detection-using-word-embeddings,Linear Regression,Linear Regression,,,,,
machine-learning-for-drug-overdose,Gaussian Process,Gaussian Process,,,,,
generating-nontrivial-melodies-for-music-as-a,AutoEncoder,Autoencoder,,,,,
iterative-machine-learning-for-precision,Gaussian Process,Gaussian Process,,,,,
lstm-a-search-space-odyssey,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
remote-sensing-image-classification-with,Gaussian Process,Gaussian Process,,,,,
supervised-q-walk-for-learning-vector,Q-Learning,Q-Learning,,,,,
facial-key-points-detection-using-deep,"Dense Connections, Convolution, LeNet",LeNet,,,,,
convergence-analysis-of-distributed,"Logistic Regression, SGD",Logistic Regression,,,,,
a-deep-learning-model-for-traffic-flow-state,"SPEED, Deep Belief Network",Deep Belief Network,,,,,
anomaly-detection-for-a-water-treatment,SVM,SVM,,,,,
unsupervised-domain-adaptation-for-robust,AutoEncoder,Autoencoder,,,,,
quantum-autoencoders-via-quantum-adders-with,AutoEncoder,Autoencoder,,,,,
yet-another-adni-machine-learning-paper,SVM,SVM,,,,,
identifying-restaurant-features-via-sentiment,SVM,SVM,,,,,
deep-models-under-the-gan-information-leakage,"GAN, Convolution",GAN,,,,,
an-unsupervised-long-short-term-memory-neural,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
source-localization-in-an-ocean-waveguide,SVM,SVM,,,,,
arigan-synthetic-arabidopsis-plants-using,"Leaky ReLU, DCGAN, Convolution, ReLU, Batch Normalization",GAN,DCGAN,,,,
designing-and-building-the-mlpack-open-source,Logistic Regression,Logistic Regression,,,,,
adaptive-svm-learning-with-privileged,SVM,SVM,,,,,
machine-learning-approach-for-detection-of,SVM,SVM,,,,,
causally-regularized-learning-with-agnostic,Logistic Regression,Logistic Regression,,,,,
differentially-private-ordinary-least-squares,Linear Regression,Linear Regression,,,,,
revisiting-the-effectiveness-of-off-the-shelf,"Global Average Pooling, Softmax, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet, Average Pooling",ResNet,,,,,
projectionnet-learning-efficient-on-device,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
revisiting-activation-regularization-for,"Dropout, Temporal Activation Regularization, Recurrent Dropout, Tanh Activation, LSTM, Sigmoid Activation, Activation Regularization",LSTM,,,,,
application-of-support-vector-machine,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
a-robust-multi-batch-l-bfgs-method-for,Logistic Regression,Logistic Regression,,,,,
freehand-ultrasound-image-simulation-with,"GAN, Convolution",GAN,,,,,
learning-deep-latent-spaces-for-multi-label,AutoEncoder,Autoencoder,,,,,
optimization-methods-for-supervised-machine,Logistic Regression,Logistic Regression,,,,,
recurrent-neural-networks-with-specialized,"Tanh Activation, LSTM, CRF, Sigmoid Activation",LSTM,,,,,
developing-bug-free-machine-learning-systems,AutoEncoder,Autoencoder,,,,,
multi-level-svm-based-cad-tool-for,SVM,SVM,,,,,
deep-learning-autoencoder-approach-for,AutoEncoder,Autoencoder,,,,,
towards-proof-synthesis-guided-by-neural,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
asynchronous-distributed-variational-gaussian,Gaussian Process,Gaussian Process,,,,,
discriminatively-learned-hierarchical-rank,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
efficient-modeling-of-latent-information-in,Gaussian Process,Gaussian Process,,,,,
supervised-machine-learning-for-signals,Logistic Regression,Logistic Regression,,,,,
real-time-adaptive-image-compression,AutoEncoder,Autoencoder,,,,,
a-feature-embedding-strategy-for-high-level,"DCNN, Softmax",CNN,DCNN,,,,
handwritten-bangla-digit-recognition-using,"Deep Belief Network, Dropout",Deep Belief Network,,,,,
projected-semi-stochastic-gradient-descent,SVM,SVM,,,,,
machine-learning-on-sequential-data-using-a,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
offline-handwritten-recognition-of-malayalam,SVM,SVM,,,,,
near-data-processing-for-differentiable,"Logistic Regression, SSD, SGD, Non Maximum Suppression, Convolution, 1x1 Convolution",Logistic Regression,,,,,
inception-recurrent-convolutional-neural,DCNN,CNN,DCNN,,,,
semi-supervised-classification-for-dynamic,"SVM, LDA",SVM,,,,,
fast-stochastic-variance-reduced-gradient,SVM,SVM,,,,,
joint-regression-and-ranking-for-image,Gaussian Process,Gaussian Process,,,,,
dyvedeep-dynamic-variable-effort-deep-neural,"Dense Connections, OverFeat, Softmax, Convolution, Max Pooling, VGG, ReLU, Dropout",VGG,,,,,
detecting-unseen-falls-from-wearable-devices,AutoEncoder,Autoencoder,,,,,
symbolic-regression-algorithms-with-built-in,Linear Regression,Linear Regression,,,,,
a-statistical-machine-learning-approach-to,Gaussian Process,Gaussian Process,,,,,
learning-in-implicit-generative-models,"GAN, Convolution",GAN,,,,,
trained-ternary-quantization,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
ese-efficient-speech-recognition-engine-with,"Pruning, Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
parallel-long-short-term-memory-for-multi,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
multi-feature-classifiers-for-burst-detection,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
on-sgds-failure-in-practice-characterizing,"Linear Regression, SGD",Linear Regression,,,,,
toward-the-automated-analysis-of-complex,Logistic Regression,Logistic Regression,,,,,
optimizing-cost-sensitive-svm-for-imbalanced,SVM,SVM,,,,,
the-microsoft-2016-conversational-speech,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
on-the-effectiveness-of-discretizing,Logistic Regression,Logistic Regression,,,,,
data-programming-creating-large-training-sets,"Tanh Activation, Logistic Regression, LSTM, Sigmoid Activation",Logistic Regression,LSTM,,,,
p-dla-a-predictive-system-model-for-onshore,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
what-is-relevant-in-a-text-document-an,SVM,SVM,,,,,
word-embeddings-and-recurrent-neural-networks,SVM,SVM,,,,,
a-new-recurrent-neural-network-based,Logistic Regression,Logistic Regression,,,,,
machine-learning-linear-and-bayesian-models,Logistic Regression,Logistic Regression,,,,,
predicting-brain-age-with-deep-learning-from,Gaussian Process,Gaussian Process,,,,,
a-review-of-intelligent-practices-for,Logistic Regression,Logistic Regression,,,,,
behavior-based-machine-learning-a-hybrid,SVM,SVM,,,,,
fast-and-energy-efficient-cnn-inference-on,"Global Average Pooling, Softmax, Convolution, Max Pooling, 1x1 Convolution, Fire Module, ReLU, Dropout, Xavier Initialization, Residual Connection, SqueezeNet, Average Pooling",SqueezeNet,,,,,
private-empirical-risk-minimization-beyond,Linear Regression,Linear Regression,,,,,
predicting-clinical-events-by-combining,Logistic Regression,Logistic Regression,,,,,
gradients-of-counterfactuals,"GoogLeNet, LSTM, Average Pooling, Dense Connections, Inception Module, Auxiliary Classifier, Tanh Activation, Sigmoid Activation, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout",GoogleNet,LeNet,LSTM,,,
privlogit-efficient-privacy-preserving,Logistic Regression,Logistic Regression,,,,,
extracting-actionability-from-machine,SVM,SVM,,,,,
an-improved-approach-for-prediction-of,Logistic Regression,Logistic Regression,,,,,
a-multi-task-learning-model-for-malware,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
semi-supervised-active-learning-for-support,SVM,SVM,,,,,
neural-paraphrase-generation-with-stacked,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
multiple-regularizations-deep-learning-for,"SVM, Dropout",SVM,,,,,
caffeinated-fpgas-fpga-framework-for,"Dense Connections, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout",VGG,,,,,
towards-the-effectiveness-of-deep,DCNN,CNN,DCNN,,,,
asynchronous-stochastic-proximal-optimization,Logistic Regression,Logistic Regression,,,,,
gaussian-process-pseudo-likelihood-models-for,Gaussian Process,Gaussian Process,,,,,
multi-task-prediction-of-disease-onsets-from,Logistic Regression,Logistic Regression,,,,,
accelerating-deep-learning-with-shrinkage-and,"SPEED, Deep Belief Network, Convolution",Deep Belief Network,,,,,
dialogue-manager-domain-adaptation-using,Gaussian Process,Gaussian Process,,,,,
using-natural-language-processing-to-screen,SVM,SVM,,,,,
language-detection-for-short-text-messages-in,SVM,SVM,,,,,
conditional-sparse-linear-regression,Linear Regression,Linear Regression,,,,,
semi-supervised-prediction-of-gene-regulatory,SVM,SVM,,,,,
online-adaptation-of-deep-architectures-with,AutoEncoder,Autoencoder,,,,,
vdnn-virtualized-deep-neural-networks-for,"GoogLeNet, Average Pooling, Dense Connections, AlexNet, Inception Module, VGG, Grouped Convolution, Auxiliary Classifier, OverFeat, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout",GoogleNet,LeNet,VGG,AlexNet,,
understanding-and-improving-convolutional,"SGD with Momentum, CReLU, Leaky ReLU, Dense Connections, Softmax, Convolution, VGG, Max Pooling, Weight Decay, ReLU, Adam, Dropout",VGG,,,,,
error-resilient-machine-learning-in-near,SVM,SVM,,,,,
a-multilevel-framework-for-sparse,Logistic Regression,Logistic Regression,,,,,
a-learning-algorithm-for-relational-logistic,Logistic Regression,Logistic Regression,,,,,
distributed-submodular-maximization,Gaussian Process,Gaussian Process,,,,,
an-uncertain-future-forecasting-from-static,AutoEncoder,Autoencoder,,,,,
combining-multiscale-features-for,SVM,SVM,,,,,
cltorch-a-hardware-agnostic-backend-for-the,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, VGG, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",VGG,AlexNet,,,,
max-margin-feature-selection,SVM,SVM,,,,,
curie-a-method-for-protecting-svm-classifier,SVM,SVM,,,,,
arock-an-algorithmic-framework-for,Logistic Regression,Logistic Regression,,,,,
support-vector-algorithms-for-optimizing-the,SVM,SVM,,,,,
web-spam-detection-using-multiple-kernels-in,SVM,SVM,,,,,
an-evaluation-of-randomized-machine-learning,"Logistic Regression, Dropout",Logistic Regression,,,,,
neurohex-a-deep-q-learning-hex-agent,Q-Learning,Q-Learning,,,,,
can-boosting-with-svm-as-week-learners-help,SVM,SVM,,,,,
developing-quantum-annealer-driven-data,Logistic Regression,Logistic Regression,,,,,
dasa-domain-adaptation-in-stacked,AutoEncoder,Autoencoder,,,,,
efficient-multiscale-gaussian-process,Gaussian Process,Gaussian Process,,,,,
cells-in-multidimensional-recurrent-neural,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
reinforcement-learning-approach-for-real-time,Q-Learning,Q-Learning,,,,,
generating-images-with-perceptual-similarity,AutoEncoder,Autoencoder,,,,,
feature-representation-for-icu-mortality,Logistic Regression,Logistic Regression,,,,,
binding-via-reconstruction-clustering,AutoEncoder,Autoencoder,,,,,
using-machine-learning-for-medium-frequency,Deep Belief Network,Deep Belief Network,,,,,
poseidon-a-system-architecture-for-efficient,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, Adam, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
a-novel-approach-to-distributed-multi-class,SVM,SVM,,,,,
predicting-the-top-and-bottom-ranks-of,SVM,SVM,,,,,
distributed-machine-learning-via-sufficient-1,Logistic Regression,Logistic Regression,,,,,
auc-maximized-deep-convolutional-neural,DCNN,CNN,DCNN,,,,
the-wilson-machine-for-image-modeling,Logistic Regression,Logistic Regression,,,,,
kernel-methods-for-accurate-uwb-based-ranging,Gaussian Process,Gaussian Process,,,,,
neutralized-empirical-risk-minimization-with,SVM,SVM,,,,,
an-empirical-study-on-sentiment,SVM,SVM,,,,,
gaussian-process-random-fields,Gaussian Process,Gaussian Process,,,,,
within-brain-classification-for-brain-tumor,SVM,SVM,,,,,
distributed-parameter-map-reduce,Logistic Regression,Logistic Regression,,,,,
convolutional-lstm-network-a-machine-learning,"Tanh Activation, LSTM, Sigmoid Activation, ConvLSTM, Convolution",LSTM,ConvLSTM,,,,
twitter-sentiment-analysis-lexicon-method,SVM,SVM,,,,,
deepsat-a-learning-framework-for-satellite,Deep Belief Network,Deep Belief Network,,,,,
asynchronous-distributed-admm-for-large-scale,"Logistic Regression, SPEED, ADMM",Logistic Regression,,,,,
distributed-machine-learning-via-sufficient,Logistic Regression,Logistic Regression,,,,,
machine-learning-methods-to-analyze,SVM,SVM,,,,,
evaluating-classifiers-in-detecting-419-scams,SVM,SVM,,,,,
artificial-prediction-markets-for-online,Q-Learning,Q-Learning,,,,,
multi-objective-optimization-for-self,"Denoising Autoencoder, AutoEncoder",Autoencoder,,,,,
local-nonstationarity-for-efficient-bayesian,Gaussian Process,Gaussian Process,,,,,
bayesian-optimization-for-materials-design,Gaussian Process,Gaussian Process,,,,,
probabilistic-network-metrics-variational,Gaussian Process,Gaussian Process,,,,,
f-svm-combination-of-feature-transformation,SVM,SVM,,,,,
analysis-of-spectrum-occupancy-using-machine,SVM,SVM,,,,,
a-randomized-nonmonotone-block-proximal,SVM,SVM,,,,,
polarization-measurement-of-high-dimensional,SVM,SVM,,,,,
latent-gaussian-processes-for-distribution,Gaussian Process,Gaussian Process,,,,,
convolutional-lstm-networks-for-subcellular,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
heteroscedastic-treed-bayesian-optimisation,Gaussian Process,Gaussian Process,,,,,
large-scale-purchase-prediction-with,Linear Regression,Linear Regression,,,,,
a-partan-accelerated-frank-wolfe-algorithm,SVM,SVM,,,,,
a-scaled-gradient-projection-method-for,Gaussian Process,Gaussian Process,,,,,
incremental-majorization-minimization,Logistic Regression,Logistic Regression,,,,,
deep-learning-with-nonparametric-clustering,Deep Belief Network,Deep Belief Network,,,,,
communication-efficient-distributed,Logistic Regression,Logistic Regression,,,,,
deep-belief-network-training-improvement,SVM,SVM,,,,,
supervised-learning-methods-for-bangla-web,SVM,SVM,,,,,
variational-inference-for-uncertainty-on-the,Gaussian Process,Gaussian Process,,,,,
dusk-a-dual-structure-preserving-kernel-for,SVM,SVM,,,,,
automated-machine-learning-on-big-data-using,Gaussian Process,Gaussian Process,,,,,
mind-the-nuisance-gaussian-process,Gaussian Process,Gaussian Process,,,,,
fast-support-vector-machines-using-parallel,SVM,SVM,,,,,
freeze-thaw-bayesian-optimization,Gaussian Process,Gaussian Process,,,,,
layered-logic-classifiers-exploring-the-and,SVM,SVM,,,,,
bayesian-inference-for-gaussian-process,Gaussian Process,Gaussian Process,,,,,
an-equivalence-between-the-lasso-and-support,SVM,SVM,,,,,
learning-optimization-models-in-the-presence,Linear Regression,Linear Regression,,,,,
a-clockwork-rnn,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
probabilistic-solutions-to-differential,Gaussian Process,Gaussian Process,,,,,
